iter	Passed	Remaining
0	2	471
1	4	397
2	5	364
3	7	352
4	8	344
5	10	337
6	12	349
7	14	343
8	15	329
9	17	326
10	18	319
11	20	315
12	21	314
13	23	312
14	25	310
15	26	310
16	28	310
17	30	307
18	31	304
19	33	302
20	35	298
21	36	297
22	38	294
23	39	292
24	41	290
25	43	294
26	45	293
27	47	291
28	49	289
29	50	287
30	52	285
31	53	283
32	55	281
33	57	278
34	59	281
35	61	279
36	63	277
37	64	276
38	66	274
39	67	270
40	69	269
41	70	266
42	72	265
43	75	266
44	76	264
45	78	262
46	79	259
47	80	256
48	82	253
49	83	251
50	85	249
51	86	247
52	88	244
53	90	243
54	91	241
55	92	238
56	94	236
57	95	233
58	97	232
59	98	230
60	100	228
61	101	225
62	102	223
63	104	222
64	106	221
65	108	219
66	109	217
67	110	215
68	112	212
69	113	210
70	114	208
71	115	206
72	117	203
73	118	201
74	119	199
75	121	198
76	123	197
77	125	195
78	126	194
79	128	192
80	129	190
81	131	189
82	133	188
83	135	186
84	137	185
85	139	184
86	141	183
87	142	181
88	144	179
89	145	177
90	146	175
91	148	173
92	149	172
93	151	170
94	162	179
95	163	177
96	165	175
97	166	173
98	168	171
99	170	170
100	172	169
101	174	167
102	175	165
103	177	163
104	178	161
105	180	159
106	181	157
107	183	156
108	185	154
109	188	154
110	190	152
111	191	150
112	193	149
113	194	147
114	196	145
115	197	143
116	200	142
117	202	140
118	204	138
119	205	137
120	207	135
121	209	133
122	210	131
123	212	130
124	214	128
125	217	127
126	219	126
127	221	124
128	222	122
129	224	120
130	226	119
131	227	117
132	228	115
133	231	113
134	233	112
135	235	110
136	236	108
137	238	107
138	239	105
139	241	103
140	242	101
141	243	99
142	245	98
143	248	96
144	250	94
145	251	93
146	253	91
147	254	89
148	256	87
149	257	85
150	259	84
151	261	82
152	263	81
153	265	79
154	267	77
155	268	75
156	270	74
157	271	72
158	273	70
159	274	68
160	276	67
161	279	65
162	281	63
163	282	62
164	284	60
165	285	58
166	286	56
167	288	54
168	289	53
169	291	51
170	294	49
171	295	48
172	297	46
173	298	44
174	299	42
175	301	41
176	302	39
177	303	37
178	304	35
179	306	34
180	308	32
181	310	30
182	311	28
183	313	27
184	314	25
185	315	23
186	317	22
187	319	20
188	321	18
189	325	17
190	326	15
191	328	13
192	329	11
193	331	10
194	333	8
195	335	6
196	336	5
197	339	3
198	342	1
199	344	0
